index	disposition	path	expanded_size	compressed_size	sha256
0	recovered	SYSFG_LANGINDOSIND/Corecomp.ini	21642	4555	9dcdf0da0fff02717fe53cb6526fbdfc51163711bdada83525d4919c165dfd02
1	recovered	SYSFG_LANGINDI16/Ctl3d.dll	26768	12919	b8e49ee96df4c5c88a76425ac38def02d65cdc4dfdc6f76ce1bfb30c034e32f7
2	recovered	SYSFG_LANGINDI32/Ctl3d32.dll	27136	13307	94ef91b4c7864bd1ecc0db099e58298708bc5d22da40132ebb1c17feb4675964
3	recovered	SYSFG_0009I16/_isres.dll	130048	28598	5b12c1784080f6529485be79c34e16049d12d45dcf0afe5f056d7a255c740c0d
4	recovered	SYSFG_0009I16/IsUn16.Exe	357876	162732	7500f5b916f1b693ff2ba3a07b5ed4be9bd21e65697bdaf1fdf30e6c5b6e6274
5	recovered	SYSFG_0009I32/_IsRes.Dll	128512	29914	944168fcb0c0ccbb556b77ecdda92ca4d9b2b788c0e91e144691252d4b2b2edd
6	recovered	SYSFG_0009I32/IsUninst.Exe	314368	128313	6910dac2dc37ce29e65beaf562adbe0541a2a2326f7486e913cef4240de4ccca
